Customer ID,Order ID,Return Initiation Date,Return Method,Return Status,Item Verification Date,Refund Date,Customer Satisfaction Rating
49,1049,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,2
50,1050,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,4
51,1051,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,3
52,1052,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,5
53,1053,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,3
54,1054,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,5
55,1055,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,2
56,1056,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,4
57,1057,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,3
58,1058,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,5
59,1059,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,4
60,1060,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,5
61,1061,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,3
62,1062,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,5
63,1063,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,2
64,1064,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,4
65,1065,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,3
66,1066,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,5
67,1067,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,2
68,1068,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,4
69,1069,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,3.2
70,1070,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,3
71,1071,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,5
72,1072,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,2
73,1073,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,4
74,1074,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,3
75,1075,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,5
76,1076,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,3
77,1077,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,5
78,1078,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,2
79,1079,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,4
80,1080,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,3
81,1081,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,5
82,1082,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,3
83,1083,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,5
84,1084,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,2
85,1085,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,4
86,1086,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,3
87,1087,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,5
88,1088,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,4
89,1089,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,5
90,1090,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,3
91,1091,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,5
92,1092,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,2
93,1093,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,4
94,1094,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,3
95,1095,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,5
96,1096,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,2
97,1097,2022-07-10,Online Form,Processing,2022-07-15,2022-07-20,4
98,1098,2022-08-05,Return Label,Completed,2022-08-10,2022-08-15,3.2
99,1099,2022-09-18,Return Label,Processing,2022-09-22,2022-09-27,3
100,1100,2022-10-01,Email Request,Completed,2022-10-05,2022-10-10,5
101,1101,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,2
102,1102,2022-11-08,Online Form,Processing,2022-11-13,2022-11-18,4
103,1103,2022-12-19,Return Label,Completed,2022-12-24,2022-12-29,3
104,1104,2023-01-07,Online Form,Processing,2023-01-12,2023-01-17,5
105,1105,2023-02-15,Email Request,Completed,2023-02-20,2023-02-25,3
106,1106,2022-05-15,Online Form,Processing,2022-05-20,2022-05-25,5
107,1107,2022-06-02,Email Request,Completed,2022-06-06,2022-06-10,2
